,Symbol,CompanyName
0,AAPL,애플
1,NVDA,엔비디아
2,MSFT,마이크로소프트
3,AMZN,아마존닷컴
4,META,메타 플랫폼스
5,TSLA,테슬라
6,GOOGL,알파벳 Class A
7,GOOG,알파벳 Class C
8,AVGO,브로드컴
9,COST,코스트코 홀세일
10,NFLX,넷플릭스
11,ASML,ASML 홀딩 ADR
12,TMUS,T-모바일 US
13,CSCO,시스코 시스템즈
14,ISRG,인튜이티브 서지컬
15,AZN,아스트라제네카 ADR
16,LIN,린드
17,PEP,펩시코
18,AMD,어드밴스드 마이크로 디바이시스(AMD)
19,ADBE,어도비
20,QCOM,퀄컴
21,TXN,텍사스 인스트루먼트
22,INTU,인튜이트
23,BKNG,부킹 홀딩스
24,PLTR,팔란티어 테크놀로지스
25,ARM,암 홀딩스 ADR
26,AMAT,어플라이드 머티어리얼즈
27,AMGN,암젠
28,HON,허니웰 인터내셔널
29,PDD,핀둬둬 ADR
30,CMCSA,컴캐스트
31,ADP,오토매틱 데이터 프로세싱
32,PANW,팔로 알토 네트웍스
33,MU,마이크론 테크놀로지
34,GILD,길리어드 사이언스
35,APP,앱플로빈
36,VRTX,버텍스 파마슈티컬
37,SBUX,스타벅스
38,ADI,애널로그 디바이시스
39,LRCX,램 리서치
40,MRVL,마벨 테크놀로지 그룹
41,KLAC,KLA
42,CEG,콘스텔레이션 에너지
43,MELI,메르카도리브레
44,MSTR,마이크로스트래티지
45,CRWD,크라우드 스트라이크 홀딩스
46,PYPL,페이팔 홀딩스
47,INTC,인텔
48,ABNB,에어비앤비
49,CDNS,케이던스 디자인 시스템즈
50,CTAS,신타스
51,SNPS,시놉시스
52,MDLZ,몬덜리즈 인터내셔널
53,MAR,메리어트 인터내셔널
54,REGN,리제네론 파마슈티컬스
55,FTNT,포티넷
56,DASH,도어대시
57,ORLY,오레일리 오토모티브
58,WDAY,워크데이
59,TEAM,아틀라시안
60,CSX,CSX
61,ADSK,오토데스크
62,TTD,트레이드 데스크
63,PH,파카
64,ROP,로퍼 테크놀로지스
65,CPRT,코파트
66,NXPI,NXP 세미콘덕터
67,PAYX,페이첵스
68,FANG,다이아몬드백 에너지
69,AEP,아메리칸 일렉트릭 파워 컴퍼니
70,CHTR,차터 커뮤니케이션
71,ROST,로스 스토어스
72,MNST,몬스터 베버리지
73,DDOG,데이터도그
74,BKR,베이커 휴즈
75,LULU,룰루레몬 애슬레티카
76,AXON,액손 엔터프라이스
77,FAST,패스널
78,KDP,큐리그 닥터 페퍼
79,ODFL,올드 도미니언 프라이트 라인
80,EXC,엑셀론
81,VRSK,베리스크 애널리틱스
82,GEHC,GE HealthCare Technologies Inc
83,CTSH,코그니전트 테크놀로지 솔루션
84,XEL,엑셀 에너지
85,EA,일렉트로닉 아츠
86,IDXX,아이덱스 래보라토리스
87,KHC,크래프트 하인즈
88,CCEP,코카-콜라 유로퍼시픽 파트너스
89,DXCM,덱스컴
90,TTWO,테이크-투 인터랙티브 소프트웨어
91,MCHP,마이크로칩 테크놀러지
92,ANSS,앤시스
93,CSGP,코스타 그룹
94,ZS,지스케일러
95,CDW,CDW
96,WBD,워너 브로스 디스커버리
97,ON,온 세미콘덕터
98,GFS,글로벌파운드리
99,BIIB,바이오젠
100,MDB,몽고DB
